Price,Close,High,Low,Open,Volume
Ticker,SPG,SPG,SPG,SPG,SPG
Date,,,,,
2024-10-08,163.29067993164062,164.99945645009456,162.49976289842348,164.35501491521134,1087400
2024-10-09,165.24356079101562,165.47791263939413,162.23611245055866,162.88056885908836,805300
2024-10-10,163.8765411376953,165.2337972282267,163.13444932034972,164.24759449604204,741900
2024-10-11,166.75704956054688,167.46984927120585,164.87252042020728,164.96039677508003,1135400
2024-10-14,167.63583374023438,168.22170587270833,165.5071937976504,166.29811074694715,888800
2024-10-15,170.516357421875,172.53758800665403,167.94830588388257,167.94830588388257,1374000
2024-10-16,170.9069366455078,171.649028480831,169.9500260079743,170.59448241460527,1264000
2024-10-17,170.2429656982422,170.97529847601035,168.80759226186873,170.3210680831108,1070800
2024-10-18,172.75241088867188,172.90864545043135,169.25674079088012,170.7311802560448,1060400
2024-10-21,170.1062469482422,172.6254583372056,169.5594260141017,172.12747746252157,1032000
2024-10-22,170.73117065429688,171.39514515541154,169.4617909852486,170.2722409670306,928100
2024-10-23,169.72543334960938,171.17056570277742,168.42676157639698,169.4520154347806,908900
2024-10-24,169.31532287597656,171.1217495874231,168.60252318360665,169.75473443776193,1047200
2024-10-25,166.503173828125,169.9597777614065,165.93683472844714,169.65708261660487,954900
2024-10-28,168.45606994628906,169.83284422875468,167.46009320845042,167.52845141859004,1101500
2024-10-29,167.92877197265625,168.70992985958225,166.97186138332933,167.96783806164365,857700
2024-10-30,168.02642822265625,169.49109372505106,167.55773943370733,168.17288881315653,929400
2024-10-31,165.1361541748047,167.62608859568445,165.0482778174362,166.42506701360307,1794900
2024-11-01,163.74960327148438,167.34292378602075,162.08965198404752,163.17350507220394,1433600
2024-11-04,168.1045379638672,168.1045379638672,163.75936681486405,164.60886800035811,1215900
2024-11-05,170.28201293945312,170.28201293945312,166.90351124736412,166.97186945672357,894600
2024-11-06,169.5203857421875,174.50025440710317,167.34292053507482,172.14702159214684,1967000
2024-11-07,171.6099853515625,172.79148881922703,169.70592306010624,169.99885915864158,1278200
2024-11-08,174.80294799804688,175.23258559188298,172.11772793591902,172.11772793591902,972000
2024-11-11,177.06829833984375,177.57605323955457,174.29520178642443,174.62718907112634,1491200
2024-11-12,174.02178955078125,178.53295447336035,173.96320531532143,176.92182840082432,1516500
2024-11-13,174.94940185546875,176.92182214248186,174.29518641706306,175.1544615716722,1197200
