Date,Dividends
2023-12-28 00:00:00-05:00,0.123
2024-01-30 00:00:00-05:00,0.123
2024-02-28 00:00:00-05:00,0.123
2024-03-27 00:00:00-04:00,0.123
2024-04-29 00:00:00-04:00,0.123
2024-05-31 00:00:00-04:00,0.123
2024-06-28 00:00:00-04:00,0.123
2024-07-31 00:00:00-04:00,0.123
2024-08-30 00:00:00-04:00,0.123
2024-09-30 00:00:00-04:00,0.123
2024-10-31 00:00:00-04:00,0.123
2024-11-29 00:00:00-05:00,0.123
2024-12-31 00:00:00-05:00,0.123
2025-01-31 00:00:00-05:00,0.124
2025-02-28 00:00:00-05:00,0.124
2025-03-31 00:00:00-04:00,0.124
